DAM_NAME,LONGITUDE,LATITUDE,COUNTY,CITY
WALLUM LAKE,-71.76204,42.00071,PROVIDENCE,BURRILLVILLE
WILSON RESERVOIR,-71.7223282,41.96615218,PROVIDENCE,BURRILLVILLE
HARRISVILLE POND,-71.67486571,41.96574024,PROVIDENCE,BURRILLVILLE
PASCOAG RESERVOIR UPPER,-71.70506286,41.95061489,PROVIDENCE,BURRILLVILLE
SUCKER POND,-71.67079928,41.93589784,PROVIDENCE,BURRILLVILLE
SPRING LAKE,-71.66610715,41.97824479,PROVIDENCE,BURRILLVILLE
ROUND TOP POND,-71.69992828,42.0019493,PROVIDENCE,BURRILLVILLE
TARKILN POND,-71.59819799,41.96463779,PROVIDENCE,NORTHSMITHFIELD
NICHOLS POND,-71.599678,41.95553211,PROVIDENCE,NORTH SMITHFIELD
BUCK HILL POND,-71.78859709,41.98976515,PROVIDENCE,BURRILLVILLE
OAKLAND POND,-71.64189152,41.95983507,PROVIDENCE,BURRILLVILLE
WILBUR POND,-71.76442717,41.93022156,PROVIDENCE,GLOCESTER
VALLEY FALLS,-71.3898,41.9011,PROVIDENCE,CENTRAL FALLS
CENTRAL FALLS,-71.38019566,41.88773729,PROVIDENCE,CENTRAL FALLS
FLAT RIVER RESERVOIR,-71.59472653,41.69443512,KENT,COVENTRY
QUIDNICK RESERVOIR,-71.67772671,41.68548203,KENT,COVENTRY
COVENTRY RESERVOIR,-71.63659672,41.70088578,KENT,COVENTRY
TIOGUE LAKE,-71.55078797,41.68480367,KENT,COVENTRY
ARNOLD POND,-71.74973296,41.66816712,KENT,COVENTRY
WATERMAN POND,-71.72988893,41.71139909,KENT,COVENTRY
MILL POND,-71.54697422,41.69553758,KENT,COVENTRY
WASHINGTON POND UPPER,-71.56733704,41.69017791,KENT,COVENTRY
UPPER POND,-71.5537109,41.70465471,KENT,COVENTRY
BLACK ROCK RESERVOIR,-71.55370333,41.72004318,KENT,WEST WARWICK
MIDDLE POND,-71.55402369,41.70004273,KENT,COVENTRY
CRANSTON PRINT WORKS POND,-71.45970919,41.79346467,PROVIDENCE,CRANSTON
CURRAN UPPER RESERVOIR,-71.55107119,41.75054932,PROVIDENCE,CRANSTON
CURRAN LOWER RESERVOIR,-71.54538729,41.74174502,PROVIDENCE,CRANSTON
MISCOE LAKE,-71.41711422,42.00765227,PROVIDENCE,CUMBERLAND
DIAMOND HILL RESERVOIR,-71.39688877,41.98958971,PROVIDENCE,CUMBERLAND
PAWTUCKET RESERVOIR,-71.39056392,41.98137666,PROVIDENCE,CUMBERLAND
RAWSON POND,-71.38718413,41.96382906,PROVIDENCE,CUMBERLAND
ROBIN HOLLOW POND,-71.38421628,41.91420746,PROVIDENCE,CENTRAL FALLS
HAPPY HOLLOW POND,-71.38552854,41.90099339,PROVIDENCE,CENTRAL FALLS
ASHTON,-71.43589018,41.9403915,PROVIDENCE,CUMBERLAND
ALBION,-71.45355221,41.95420839,PROVIDENCE,LINCOLN
MANVILLE,-71.4706955,41.9714851,PROVIDENCE,CUMBERLAND
OMEGA POND,-71.36876679,41.83885956,PROVIDENCE,EAST PROVIDENCE
JAMES V TURNER RESERVOIR,-71.34188076,41.83319855,PROVIDENCE,EAST PROVIDENCE
MILLBROOK POND,-71.62298585,41.59480285,WASHINGTON,WEST GREENWICH
BREAKHEART POND,-71.70329282,41.59545899,WASHINGTON,EXETER
BOONE LAKE,-71.67799372,41.58201219,WASHINGTON,EXETER
BROWNING MILL POND,-71.69290925,41.55834581,WASHINGTON,HOPKINTON
JAMES POND,-71.64144901,41.57463072,WASHINGTON,EXETER
METCALF WILDLIFE MARSH,-71.61003,41.55725,WASHINGTON,EXETER
MT. TOM WILDLIFE MARSH,-71.73459621,41.55828474,WASHINGTON,EXETER
SLOCUM RESERVOIR,-71.52001185,41.539917,WASHINGTON,EXETER
YORKER MILL POND,-71.52324576,41.52170647,WASHINGTON,EXETER
WESTCONNAUG RESERVOIR,-71.67716975,41.77225878,PROVIDENCE,SCITUATE
"GORHAM, N. FARM POND",-71.76010892,41.74003221,PROVIDENCE,FOSTER
HOPKINS MILL POND,-71.70793915,41.82405092,PROVIDENCE,FOSTER
KEECH POND,-71.68824006,41.88439945,PROVIDENCE,GLOCESTER
SMITH + SAYLES RESERVOIR,-71.67700962,41.9022369,PROVIDENCE,GLOCESTER
MOWER POND,-71.65351864,41.91373065,PROVIDENCE,GLOCESTER
PONAGANSET RESERVOIR,-71.74193568,41.86777117,PROVIDENCE,GLOCESTER
COOMER LAKE,-71.62326048,41.87953187,PROVIDENCE,GLOCESTER
BURLINGAME RESERVOIR UPPER,-71.74237821,41.91408918,PROVIDENCE,GLOCESTER
CHERRY VALLEY POND,-71.67400355,41.87384416,PROVIDENCE,GLOCESTER
BOWDISH RESERVOIR,-71.77817016,41.92456791,PROVIDENCE,GLOCESTER
CLARKVILLE POND,-71.78951266,41.92179874,PROVIDENCE,GLOCESTER
HAWKINS POND,-71.7948227,41.91821289,PROVIDENCE,GLOCESTER
LAKE WASHINGTON,-71.75922396,41.91394039,PROVIDENCE,GLOCESTER
WYOMING UPPER,-71.70340729,41.51592255,WASHINGTON,HOPKINTON
WINCHECK POND,-71.76230622,41.52031327,WASHINGTON,HOPKINTON
YAWGOOG POND,-71.78054581,41.5170951,WASHINGTON,HOPKINTON
ASHVILLE POND,-71.75112154,41.49976351,WASHINGTON,HOPKINTON
BLUE POND,-71.74725341,41.50568773,WASHINGTON,HOPKINTON
WOODVILLE POND,-71.71895602,41.4599495,WASHINGTON,HOPKINTON
ALTON POND,-71.7214966,41.43777466,WASHINGTON,RICHMOND
LOCUSTVILLE POND,-71.71644591,41.50851442,WASHINGTON,HOPKINTON
POTTER HILL,-71.79693606,41.41405105,WASHINGTON,0
LONG POND,-71.76535033,41.50665665,WASHINGTON,HOPKINTON
JAMESTOWN RESERVOIR,-71.37449645,41.52965926,NEWPORT,JAMESTOWN
OAK SWAMP RESERVOIR,-71.53818517,41.8257561,PROVIDENCE,JOHNSTON
SIMMONS UPPER RESERVOIR,-71.51953124,41.79708863,PROVIDENCE,JOHNSTON
KIMBALL RESERVOIR,-71.56513209,41.83812332,PROVIDENCE,SCITUATE
GREYSTONE,-71.49243169,41.86607357,PROVIDENCE,NORTH PROVIDENCE/JOHNSTON
ALMY RESERVOIR,-71.52053837,41.81468578,PROVIDENCE,JOHNSTON
SIMMONS LOWER RESERVOIR,-71.50913243,41.79114913,PROVIDENCE,JOHNSTON
BARNEY POND,-71.41432187,41.8965149,PROVIDENCE,LINCOLN
OLNEY POND,-71.42663569,41.89469913,PROVIDENCE,LINCOLN
PRATT,-71.40889739,41.91358566,PROVIDENCE,CUMBERLAND
SIMMONS POND,-71.14757533,41.53643036,NEWPORT,LITTLE COMPTON
"WATSON, HAROLD E,  RESERVOIR",-71.18989559,41.543808,NEWPORT,LITTLE COMPTON
NELSON POND,-71.26276403,41.49134827,NEWPORT,MIDDLETOWN
GARDINER POND,-71.25479894,41.48837662,NEWPORT,MIDDLETOWN
EASTON POND NORTH,-71.28888697,41.49385833,NEWPORT,MIDDLETOWN
EASTON POND SOUTH,-71.28682711,41.49049376,NEWPORT,NEWPORT
BLOCK ISLAND ROD & GUN CLUB POND,-71.56372834,41.17082977,WASHINGTON,NEW SHOREHAM
SILVER SPRING LAKE,-71.46931462,41.5380516,WASHINGTON,NORTH KINGSTOWN
WERTZ + VIALL POND,-71.44336,41.54097,WASHINGTON,NORTH KINGSTOWN
CARR POND,-71.44455717,41.52027893,WASHINGTON,NORTH KINGSTOWN
POTOWOMUT POND,-71.4539871,41.63013842,WASHINGTON,NORTH KINGSTOWN
BELLEVILLE POND,-71.47319035,41.55976103,WASHINGTON,NORTH KINGSTOWN
WENSCOTT RESERVOIR,-71.46356968,41.87181092,PROVIDENCE,NORTH PROVIDENCE
LYMANSVILLE,-71.47739408,41.8395615,PROVIDENCE,NORTH PROVIDENCE
ALLENDALE POND,-71.48179623,41.85102082,PROVIDENCE,JOHNSTON
SLATERSVILLE RESERVOIR UPPER,-71.59480286,41.99433132,PROVIDENCE,NORTH SMITHFIELD
SLATERSVILLE RESERVOIR MIDDLE,-71.58184813,41.99769971,PROVIDENCE,NORTH SMITHFIELD
SLATERSVILLE RESERVOIR LOWER,-71.58051304,41.99895096,PROVIDENCE,NORTH SMITHFIELD
FORESTDALE POND,-71.56406397,41.99607086,PROVIDENCE,NORTH SMITHFIELD
WOONSOCKET RESERVOIR # 3,-71.49140928,41.9428978,PROVIDENCE,NORTH SMITHFIELD
TEN MILE RESERVATION,-71.34090419,41.87455749,PROVIDENCE,PAWTUCKET
LAWTON VALLEY RESERVOIR,-71.28055575,41.56572341,NEWPORT,PORTSMOUTH
SISSON POND,-71.27825929,41.55557634,NEWPORT,PORTSMOUTH
ST MARYS POND,-71.27327729,41.554451,NEWPORT,PORTSMOUTH
CANADA UPPER POND,-71.42627722,41.85477826,PROVIDENCE,PROVIDENCE
CUNLIFF POND,-71.4125824,41.77378845,PROVIDENCE,PROVIDENCE
HORSESHOE FALLS,-71.63639835,41.44766234,WASHINGTON,RICHMOND
WOOD RIVER JUNCTION,-71.69108577,41.43787383,WASHINGTON,RICHMOND
GAINER MEMORIAL,-71.58486176,41.75326919,PROVIDENCE,SCITUATE
MOSWANSICUT POND,-71.58254239,41.84088895,PROVIDENCE,SCITUATE
BARDEN RESERVOIR,-71.67375184,41.79198073,PROVIDENCE,SCITUATE
HORSESHOE,-71.59352877,41.83301924,PROVIDENCE,SCITUATE
HOPE,-71.56428529,41.73106764,PROVIDENCE,SCITUATE
STILLWATER RESERVOIR,-71.54209138,41.9089203,PROVIDENCE,SMITHFIELD
STILLWATER POND,-71.52516177,41.90790562,PROVIDENCE,SMITHFIELD
WATERMAN LAKE,-71.57666782,41.87832638,PROVIDENCE,SMITHFIELD
SLACK RESERVOIR,-71.55325319,41.86879352,PROVIDENCE,SMITHFIELD
SPRAGUE UPPER RESERVOIR,-71.56317135,41.89173123,PROVIDENCE,SMITHFIELD
HAWKINS POND,-71.54502104,41.86282347,PROVIDENCE,SMITHFIELD
MOUNTAINDALE RESERVOIR,-71.53610233,41.88528058,PROVIDENCE,SMITHFIELD
GEORGIAVILLE POND,-71.50653076,41.89309309,PROVIDENCE,SMITHFIELD
SPRAGUE LOWER RESERVOIR,-71.5451355,41.88528441,PROVIDENCE,SMITHFIELD
PEACE DALE POND,-71.49524684,41.45241166,WASHINGTON,SOUTH KINGSTOWN
GREAT SWAMP GOOSE MARSH,-71.59535984,41.44849775,WASHINGTON,SOUTH KINGSTOWN
GLEN ROCK RESERVOIR,-71.60816958,41.50386046,WASHINGTON,SOUTH KINGSTOWN
INDIAN LAKE,-71.47432713,41.47608568,WASHINGTON,SOUTH KINGSTOWN
NONQUIT POND,-71.19700621,41.55345918,NEWPORT,TIVERTON
WARREN RESERVOIR UPPER,-71.25926208,41.73991775,BRISTOL,WARREN
FRUIT OF THE LOOM,-71.47136688,41.72624971,KENT,WARWICK
GORTON POND,-71.46073916,41.7006607,KENT,WARWICK
TARBOX POND,-71.57351685,41.63638304,KENT,WEST GREENWICH
EISENHOWER LAKE,-71.71921534,41.61701584,KENT,WEST GREENWICH
CARR POND,-71.55819707,41.63066101,KENT,WEST GREENWICH
NATICK POND,-71.49240108,41.71738052,KENT,WEST WARWICK
ARCTIC,-71.5211,41.7067,KENT,ARCTIC
CENTERVILLE POND,-71.52109528,41.69686127,KENT,WEST WARWICK
CROMPTON LOWER,-71.52521517,41.68575668,KENT,WEST WARWICK
HARRIS POND,-71.50681303,42.01641079,PROVIDENCE,WOONSOCKET
WOONSOCKET FALLS DAM,-71.5183,41.9994,PROVIDENCE,WOONSOCKET
WOONSOCKET FALLS DAM - DIKES 1 & 2,-71.52913889,42.010075,PROVIDENCE,WOONSOCKET
UNION MILL POND,-71.70307161,41.95515439,PROVIDENCE,BURRILLVILLE
ROSS POND,-71.71854395,41.96374895,PROVIDENCE,BURRILLVILLE
CAROLINA POND,-71.66358953,41.45886231,WASHINGTON,CHARLESTOWN
QUIDNICK POND UPPER,-71.54135127,41.6952133,KENT,COVENTRY
HARRIS POND,-71.53971863,41.72542574,KENT,WEST WARWICK
ARKWRIGHT POND,-71.54554744,41.72969819,KENT,WEST WARWICK
PEARCE POND,-71.53926,41.72366,KENT,COVENTRY
HOPKINS FARM POND,-71.57142634,41.69487763,KENT,COVENTRY
NYE FARM POND,-71.73838044,41.69018938,KENT,COVENTRY
STONE POND,-71.48957059,41.79079436,PROVIDENCE,CRANSTON
MESHANTICUT PARK POND,-71.47830202,41.76779557,PROVIDENCE,CRANSTON
CLARKE'S POND UPPER,-71.54727131,41.73688039,PROVIDENCE,CRANSTON
GREENWICH BLEACHERY POND,-71.46006012,41.65254595,KENT,EAST GREENWICH
GALE FARM POND UPPER,-71.47932436,41.65644835,KENT,EAST GREENWICH
BUCKLIN POINT,-71.36568445,41.85192487,PROVIDENCE,EAST PROVIDENCE
EDWARD'S POND,-71.54112243,41.58156205,WASHINGTON,EXETER
DOLLY POND,-71.57492828,41.56591032,WASHINGTON,EXETER
WAKEFIELD POND,-71.79846192,41.96142958,PROVIDENCE,"THOMPSON, CT."
SPEAR POND,-71.72848512,41.80401991,PROVIDENCE,FOSTER
SNAKESKIN POND,-71.65752414,41.92057423,PROVIDENCE,GLOCESTER
SUCKER BROOK BRIDGE POND,-71.66965488,41.9260521,PROVIDENCE,GLOCESTER
FACTORY MUTUAL RESEARCH CTR LOWER POND,-71.78203,41.88718,PROVIDENCE,GLOCESTER
DURFEE HILL WILDLIFE MARSH #2,-71.79575345,41.90188982,PROVIDENCE,GLOCESTER
LAKE ALDERSGATE,-71.66243747,41.87895205,PROVIDENCE,GLOCESTER
"WRIGHT, T. FARM POND",-71.66348271,41.91297151,PROVIDENCE,GLOCESTER
DAVID KING FARM POND,-71.6494598,41.90028762,PROVIDENCE,GLOCESTER
BETHEL POND,-71.79023744,41.4307785,WASHINGTON,HOPKINTON
HARRIS POND,-71.7559128,41.46131133,WASHINGTON,HOPKINTON
LANGWORTHY POND,-71.71837617,41.50828552,WASHINGTON,HOPKINTON
HOXIE FARM POND,-71.7509613,41.479084,WASHINGTON,HOPKINTON
JAMESTOWN LOWER RESERVOIR,-71.38166812,41.51107408,NEWPORT,JAMESTOWN
BELKNAP POND,-71.50595098,41.84923176,PROVIDENCE,JOHNSTON
POCASSET POND,-71.50646211,41.82574082,PROVIDENCE,JOHNSTON
HUGHESDALE POND UPPER,-71.50185396,41.80725481,PROVIDENCE,JOHNSTON
CAESARVILLE POND,-71.4874954,41.84579082,PROVIDENCE,JOHNSTON
DEXTER FARM POND,-71.55164332,41.83803936,PROVIDENCE,JOHNSTON
BUTTERFLY POND,-71.43215942,41.90711216,PROVIDENCE,LINCOLN
MOFFETT POND,-71.42518619,41.90509795,PROVIDENCE,LINCOLN
BLEACHERY POND,-71.40857571,41.89272826,PROVIDENCE,LINCOLN
HANDY POND UPPER,-71.47239682,41.95870205,PROVIDENCE,LINCOLN
LIMEROCK RESERVOIR,-71.46809384,41.92950059,PROVIDENCE,LINCOLN
HAMILTON RESERVOIR,-71.44106291,41.55018617,WASHINGTON,NORTH KINGSTOWN
TODD'S POND,-71.53786468,41.96775816,PROVIDENCE,NORTH SMITHFIELD
WOONSOCKET RESERVOIR # 1,-71.48897549,41.97651289,PROVIDENCE,NORTH SMITHFIELD
PAWTUCKET UPPER,-71.38220974,41.87714388,PROVIDENCE,PAWTUCKET
WANSKUCK POND,-71.43009944,41.8555336,PROVIDENCE,PROVIDENCE
MANTON MILL POND,-71.47212978,41.83495329,PROVIDENCE,PROVIDENCE
WHITE'S POND,-71.66939549,41.47037886,WASHINGTON,RICHMOND
JORDAN POND,-71.67464445,41.77767943,PROVIDENCE,SCITUATE
PEEPTOAD POND,-71.60604854,41.85277172,PROVIDENCE,SCITUATE
PINE SWAMP RESERVOIR #1,-71.57396702,41.81732555,PROVIDENCE,SCITUATE
HOPKINS POND,-71.55189513,41.87094115,PROVIDENCE,SMITHFIELD
STILLWATER MILL POND,-71.55912776,41.87599567,PROVIDENCE,SMITHFIELD
GREENVILLE MILL POND,-71.57148741,41.87742233,PROVIDENCE,SMITHFIELD
CAPRON POND,-71.52187352,41.90322117,PROVIDENCE,SMITHFIELD
BRIDLEWOOD POND,-71.4589767,41.91031268,PROVIDENCE,LINCOLN
STATE STREET POND,-71.26657868,41.67212675,BRISTOL,BRISTOL
ASA POND,-71.51294704,41.45770265,WASHINGTON,SOUTH KINGSTOWN
HEFLER FARM POND,-71.50299072,41.45475768,WASHINGTON,SOUTH KINGSTOWN
WAKEFIELD POND,-71.50142673,41.43733978,WASHINGTON,SOUTH KINGSTOWN
WARREN RESERVOIR LOWER,-71.26305,41.72974,BRISTOL,WARREN
CAMP WARWICK POND,-71.49636073,41.69378279,KENT,WARWICK
HAZARD POND,-71.78206636,41.6264534,KENT,WEST GREENWICH
ROYAL MILLS,-71.5165,41.7128,KENT,WEST WARWICK
BOUCHAR FARM POND,-71.51,41.686,KENT,WEST WARWICK
SYLVESTER POND,-71.49539943,42.00191878,PROVIDENCE,WOONSOCKET
ROCKY BROOK RESERVOIR,-71.50694,41.4553,WASHINGTON,SOUTH KINGSTOWN
BARBERVILLE POND,-71.69618,41.54084,WASHINGTON,HOPKINTON
MILL POND,-71.13689,41.57501,NEWPORT,TIVERTON
INDIAN RUN,-71.48743,41.44471,WASHINGTON,
RODMAN MILL,-71.48667904,41.57304075,WASHINGTON,NORTH KINGSTONW
HOLLEY LANE POND,-71.47858,42.0037,PROVIDENCE,
CENTRE OF NEW ENGLAND #1,-71.55239,41.66831,KENT,
SHOESTRING MILL,-71.5826,41.81714,PROVIDENCE,
BRIDLEWOOD UPPER END,-71.46078,41.91206,PROVIDENCE,
DAVES MARKETPLACE,-71.4207,41.70431,KENT,
SLOCUM WOODS,-71.51072,41.52396,WASHINGTON,
SECRET LAKE,-71.47262,41.55709,WASHINGTON,
SHADY LEA MILL,-71.46357,41.53373,WASHINGTON,
SLOCUM ROAD UPPER,-71.51246,41.51794,WASHINGTON,
BOWDISH LOWER,-71.78228,41.92377,PROVIDENCE,GLOCESTER
SPRAGUE POND,-71.47011,41.43406,WASHINGTON,
CREAMER,-71.20396,41.63739,NEWPORT,
ADAMSVILLE POND,-71.12653,41.55577,NEWPORT,
CROSS MILLS,-71.64213,41.38341,WASHINGTON,
LOUISQUISSET FLOOD CONTROL,-71.44463,41.86988,PROVIDENCE,
MELVILLE #1,-71.27808,41.59242,NEWPORT,
GRIST MILL APARTMENTS,-71.46789,41.69958,KENT,
MILL,-71.56479,41.17246,WASHINGTON,
OCEAN STATE POWER,-71.60198277,41.98771974,,
STAFFORD,-71.16035,41.65501,NEWPORT,TIVERTON
BLACKSTONE,-71.553587,42.015349,,NORTH SMITHFIELD